hindi,hinglish
शहर में,shehar mein
मेरे पास कई पराठा है।,Mere paas kai paratha hai.
यह बेटा आ रहा है।,Yeh beta aa raha hai.
वह सीधा नाना था।,Woh sidha nana tha.
मेरी बोल रही है,meri bol rahi hai
यह पराठा आ रहा है।,Yeh paratha aa raha hai.
कमाल समय है,kamaal samay hai
वह अमीर बच्ची होगा।,Woh amir bachchi hoga.
हम तंदुरुस्त हूँ,hum tandurust hoon
वह मज़ाकिया बूढ़ा होगा।,Woh mazakiya budha hoga.
यह समझदार बच्ची है।,Yeh samajhdar bachchi hai
तुझे यह शहर चाहिए,tujhe yah shehar chahiye
यह ज़बरदस्त बेटी और वह ज़बरदस्त ससुर है।,Yeh zabardast beti aur woh zabardast sasur hai
मुझे एक स्टोरी है,Mujhe ek story hai
यह हेडफोन कमाल का है।,Yeh headphone kamaal ka hai
मेरे पास दो वादा है।,Mere paas do waada hai.
यह यूपीआई बुरा है।,Yeh UPI bura hai
तेरह रुपये,terah rupe
यह डिलीवरी साधारण है।,Yeh delivery sadharan hai
वह बच्चा घरवाले था।,Woh bachcha gharwale tha.
आप होगा रही है,aap hoga rahi hai
मेरा दरवाज़ा है,mera darwaza hai
यह बुरा दादा और वह बुरा ताई है।,Yeh bura dada aur woh bura tai hai
यह खराब परिवार और वह खराब बेटी है।,Yeh kharab parivar aur woh kharab beti hai
वह बर्फ़ीला नाना था।,Woh barfila nana tha.
मुझे एक स्कैनर खरीदा,Mujhe ek scanner kharida
यह इश्क़ बिक्री हुई।,Yeh ishq bikri hui.
मुझे एक केबल खरीदा,Mujhe ek cable kharida
वह ताज़ा परिवार होगा।,Woh taza parivar hoga.
यह सबसे अच्छा नाना और वह सबसे अच्छा घरवाले है।,Yeh sabse accha nana aur woh sabse accha gharwale hai
यह ऑफर बेकार है।,Yeh offer bekar hai
मेज़ रखो,mez rakho
वह ताज़ा बच्ची था।,Woh taza bachchi tha.
यह प्राइवेसी फालतू है।,Yeh privacy faltu hai
तुम वह को जानता है,tum vah ko jaanta hai
वह साधारण माँ था।,Woh sadharan maa tha.
झूठ मत बोलो!,Jhooth mat bolo!
यह ताज़ा भाई है।,Yeh taza bhai hai
वह डरपोक बच्चा होगा।,Woh darpok bachcha hoga.
मुझे एक बढ़िया चैट चाहिए।,mujhe ek badhiya chat chahiye.
मेरे पास बहुत सारे परिवार है।,Mere paas bahut sare parivar hai.
वह कम है,vah kam hai
वह ऊंचा लड़का होगा।,Woh ooncha ladka hoga.
वह गुलाबी परिवार होगा।,Woh gulabi parivar hoga.
वह खुश पति होगा।,Woh khush pati hoga.
तेरा गली है,tera gali hai
वह नया ससुर था।,Woh naya sasur tha.
बड़ी पलंग,badi palang
मेरे पास चार स्टेशन है।,Mere paas chaar station hai.
यह पिता जा रहा है।,Yeh pita ja raha hai.
वह सस्ता पत्नी होगा।,Woh sasta patni hoga.
यह बढ़िया दादी और वह बढ़िया बेटा है।,Yeh badhiya dadi aur woh badhiya beta hai
मैं सो रहे हैं,main so rahe hain
यह खराब माँ और वह खराब घरवाले है।,Yeh kharab maa aur woh kharab gharwale hai
वह ईमानदार औरत था।,Woh imandar aurat tha.
फूफी गया,foofi gaya
यह खराब सास और वह खराब ताऊ है।,Yeh kharab saas aur woh kharab tau hai
यह सबसे अच्छा परिवार और वह सबसे अच्छा चाचा है।,Yeh sabse accha parivar aur woh sabse accha chacha hai
तुम ले रहे हैं,tum le rahe hain
यह कमाल का पति और वह कमाल का चाची है।,Yeh kamaal ka pati aur woh kamaal ka chachi hai
मुझे एक ज़बरदस्त एल्बम चाहिए।,mujhe ek zabardast album chahiye.
यह अच्छा परिवार और वह अच्छा बेटी है।,Yeh accha parivar aur woh accha beti hai
वर्ष मिलेंगे,varsh milenge
वह मूर्ख चाची होगा।,Woh murkh chachi hoga.
वह बूढ़ा दोस्त होगा।,Woh budha dost hoga.
हम आज आऊँगा,hum aaj aaunga
मुझे एक ख़ास चेकआउट चाहिए।,mujhe ek khaas checkout chahiye.
वह सरल बच्ची था।,Woh saral bachchi tha.
यह अच्छा नाना और वह अच्छा नानी है।,Yeh accha nana aur woh accha nani hai
यह मोटा ससुर है।,Yeh mota sasur hai
यह शानदार पत्नी और वह शानदार नानी है।,Yeh shaandaar patni aur woh shaandaar nani hai
मुझे एक ख़ास स्मार्टफोन चाहिए।,mujhe ek khaas smartphone chahiye.
यह धांसू पति और वह धांसू बेटी है।,Yeh dhansu pati aur woh dhansu beti hai
बारह दिन,barah din
यह कमाल का सास और वह कमाल का ताई है।,Yeh kamaal ka saas aur woh kamaal ka tai hai
आपका रात है,aapka raat hai
मेरे पास तीन किताब है।,Mere paas teen kitaab hai.
यह सर्च ख़ास है।,Yeh search khaas hai
वह ख़ास पापा होगा।,Woh khaas papa hoga.
यह बेहतर नाना और वह बेहतर नानी है।,Yeh behtar nana aur woh behtar nani hai
यह धांसू पत्नी और वह धांसू दादा है।,Yeh dhansu patni aur woh dhansu dada hai
मेरे पास तीन प्यार है।,Mere paas teen pyaar hai.
मुझे एक अच्छा वॉलेट चाहिए।,mujhe ek accha wallet chahiye.
यह शो खराब है।,Yeh show kharab hai
यह सबसे बुरा दादी है।,Yeh sabse bura dadi hai
वह करते रही है,vah karte rahi hai
कमाल सुबह,kamaal subah
यह लिंक सबसे बुरा है।,Yeh link sabse bura hai
यह वीडियो कॉल फालतू है।,Yeh video call faltu hai
कैसे कर रहे हो?,kaise kar rahe ho?
वह कीमती बच्चा था।,Woh qimati bachcha tha.
यह धांसू बहन और वह धांसू पापा है।,Yeh dhansu behen aur woh dhansu papa hai
यह डिस्काउंट बड़ा है।,Yeh discount bada hai
वह ईमानदार भाई था।,Woh imandar bhai tha.
मैं किया,main kiya
वह शांत पति होगा।,Woh shant pati hoga.
तेज़ खाना,tez khana
वह थका सास था।,Woh thaka saas tha.
मेरा थे रहा है,mera the raha hai
यह चलेगी,yah chalegi
आप लिखेगी,aap likhegi
यह कमाल का ससुर और वह कमाल का दादा है।,Yeh kamaal ka sasur aur woh kamaal ka dada hai
मैं उठता है,main uthta hai
यह वेरिफिकेशन लंबा है।,Yeh verification lamba hai
यह नया बच्चा है।,Yeh naya bachcha hai
यह मेहनती घरवाले है।,Yeh mehnati gharwale hai
यह खुशी आ रहा है।,Yeh khushi aa raha hai.
वह कोमल बेटी था।,Woh komal beti tha.
मैं आते हैं,main aate hain
यह बेकार दिन होगा।,Yeh bekar din hoga.
यह पावर बैंक ज़बरदस्त है।,Yeh power bank zabardast hai
यह बुरा ससुर और वह बुरा बेटा है।,Yeh bura sasur aur woh bura beta hai
यह बेईमान बात था।,Yeh beimana baat tha.
छोटा रोटी है,chhota roti hai
मेरे पास तीन मामी है।,Mere paas teen mami hai.
मेरे पास बहुत सारे गली है।,Mere paas bahut sare gali hai.
वह बच्चा सास था।,Woh bachcha saas tha.
यह जिफ बेकार है।,Yeh GIF bekar hai
वह स्कैनर खरीदा,Woh scanner kharida
यह स्टिकर बढ़िया है।,Yeh sticker badhiya hai
कहाँ रखा है?,Kahan rakha hai?
मुझे एक छोटा मॉनिटर चाहिए।,mujhe ek chhota monitor chahiye.
गली देो,gali deo
मेरे पास एक धोबी है।,Mere paas ek dhobi hai.
यह कमाल का बेटा और वह कमाल का ताई है।,Yeh kamaal ka beta aur woh kamaal ka tai hai
मुझे एक खराब कनेक्शन चाहिए।,mujhe ek kharab connection chahiye.
चुप रहो,chup raho
वह ईमानदार पति था।,Woh imandar pati tha.
यह कमाल का चाचा और वह कमाल का ताई है।,Yeh kamaal ka chacha aur woh kamaal ka tai hai
आप होूँगा,aap hounga
मुझे एक बड़ा जिफ चाहिए।,mujhe ek bada GIF chahiye.
यह बढ़िया ताऊ और वह बढ़िया पत्नी है।,Yeh badhiya tau aur woh badhiya patni hai
यह टिकटॉक बेहतर है।,Yeh TikTok behtar hai
वह पुराना लड़का था।,Woh purana ladka tha.
यह पीला कार है।,Yeh peela car hai.
पुराना काम है,purana kaam hai
मुझे एक बेहतर क्यूआर कोड चाहिए।,mujhe ek behtar QR code chahiye.
यह ज़बरदस्त नानी और वह ज़बरदस्त दादा है।,Yeh zabardast nani aur woh zabardast dada hai
यह ऑफलाइन गंदा है।,Yeh offline ganda hai.
यह तुम से मिलता है,yah tum se milta hai
यह गर्म औरत है।,Yeh garam aurat hai
आपको काम लेकर आया।,aapko kaam lekar aaya.
मेरी फोन लेकर आया।,meri phone lekar aaya.
बेहतर देश,behtar desh
वह बढ़िया ताई था।,Woh badhiya tai tha.
वह महंगा ससुर होगा।,Woh mahanga sasur hoga.
वह खराब नाना होगा।,Woh kharab nana hoga.
मेरे पास बहुत सारे दूध है।,Mere paas bahut sare doodh hai.
यह नेटवर्क खराब है।,Yeh network kharab hai
यह शांत लड़की है।,Yeh shant ladki hai
यह बेहतर सास और वह बेहतर ताई है।,Yeh behtar saas aur woh behtar tai hai
यह बढ़िया माँ और वह बढ़िया घरवाले है।,Yeh badhiya maa aur woh badhiya gharwale hai
यह टेलीग्राम धांसू है।,Yeh Telegram dhansu hai
दरवाज़ा के लिए,darwaza ke liye
यह चीनी खरीदा।,Yeh chini kharida.
वह महंगा चाचा होगा।,Woh mahanga chacha hoga.
त्योहार मनाना है।,Tyohar manana hai
यह सबसे अच्छा पत्नी और वह सबसे अच्छा ताई है।,Yeh sabse accha patni aur woh sabse accha tai hai
यह पल खरीदा।,Yeh pal kharida.
यह धांसू ससुर और वह धांसू चाची है।,Yeh dhansu sasur aur woh dhansu chachi hai
यह दौड़ रहा है,yah daud raha hai
वह बोर ताई होगा।,Woh bore tai hoga.
वह पोस्ट खरीदा,Woh post kharida
यह गंदा दादा है।,Yeh ganda dada hai
वह खराब बच्चा था।,Woh kharab bachcha tha.
यह होशियार माँ है।,Yeh hoshiyar maa hai
मुझे एक शानदार ट्रांजैक्शन चाहिए।,mujhe ek shaandaar transaction chahiye.
यह प्रसन्न माँ है।,Yeh prasanna maa hai
वह फेसबुक मिला,Woh facebook mila
वह अच्छा लड़की था।,Woh accha ladki tha.
वह अमीर घरवाले था।,Woh amir gharwale tha.
वह नारंगी चाचा था।,Woh narangi chacha tha.
यह फालतू बात होगा।,Yeh faltu baat hoga.
तुम लिखते हैं,tum likhte hain
यह काला बहन है।,Yeh kala behen hai
वह कीमती बेटा था।,Woh qimati beta tha.
वह नीचा लड़की था।,Woh neecha ladki tha.
वह गंदा ससुर था।,Woh ganda sasur tha.
देश देख लो,desh dekh lo
वह तपता चाचा था।,Woh tapta chacha tha.
मुझे एक कमाल का डेस्कटॉप चाहिए।,mujhe ek kamaal ka desktop chahiye.
यह नया बेटा है।,Yeh naya beta hai
यह उत्साहित लड़की है।,Yeh utsaahit ladki hai
यह ज़बरदस्त माँ और वह ज़बरदस्त बहन है।,Yeh zabardast maa aur woh zabardast behen hai
छोटी मेज़,chhoti mez
तेज़ खिड़की है,tez khidki hai
मुझे एक सबसे बुरा सीज़न चाहिए।,mujhe ek sabse bura season chahiye.
यह प्लेलिस्ट धांसू है।,Yeh playlist dhansu hai
वह उलझन में चाचा था।,Woh confused chacha tha.
यह गहरा चाची है।,Yeh gahra chachi hai
यह बेटा खरीदा।,Yeh beta kharida.
आप आेगा,aap aaega
वह उलझा औरत था।,Woh uljha aurat tha.
यह स्पैम पतला है।,Yeh spam patla hai
वह दिया रहा है,vah diya raha hai
मुझे एक कमाल का स्ट्रीमिंग चाहिए।,mujhe ek kamaal ka streaming chahiye.
मेरे पास एक यूनिवर्सिटी है।,Mere paas ek university hai.
यह धांसू माँ और वह धांसू पापा है।,Yeh dhansu maa aur woh dhansu papa hai
मित्र आ रहा है,mitra aa raha hai
यह मेहनती बूढ़ा है।,Yeh mehnati budha hai
वह साधारण दोस्त था।,Woh sadharan dost tha.
मेरे पास चार पार्क है।,Mere paas chaar park hai.
यह व्हाट्सएप लंबा है।,Yeh WhatsApp lamba hai
यह बुरा ताई और वह बुरा परिवार है।,Yeh bura tai aur woh bura parivar hai
यह मेमोरी पुराना है।,Yeh memory purana hai.
यह बेहतर चाचा और वह बेहतर भाई है।,Yeh behtar chacha aur woh behtar bhai hai
यह बेहतर चाचा और वह बेहतर नानी है।,Yeh behtar chacha aur woh behtar nani hai
मेरे पास बहुत सारे नाना है।,Mere paas bahut sare nana hai.
यह बढ़िया परिवार और वह बढ़िया पति है।,Yeh badhiya parivar aur woh badhiya pati hai
वह अच्छा बच्चा होगा।,Woh accha bachcha hoga.
मुझे एक बेहतर ईमेल चाहिए।,mujhe ek behtar email chahiye.
यह ग्राहक खरीदा।,Yeh grahak kharida.
वह ऑफिस गया,vah office gaya
मुझे एक बेहतर सर्च इंजन चाहिए।,mujhe ek behtar search engine chahiye.
मेरे पास दो कोशिश है।,Mere paas do koshish hai.
यह सबसे अच्छा बेटी और वह सबसे अच्छा पति है।,Yeh sabse accha beti aur woh sabse accha pati hai
वह गुस्से वाला लड़की था।,Woh gusse wala ladki tha.
यह वॉलेट खराब है।,Yeh wallet kharab hai
वह सबसे अच्छा दादी होगा।,Woh sabse accha dadi hoga.
यह लिंक कमाल का है।,Yeh link kamaal ka hai
यह ऑडियो फालतू है।,Yeh audio faltu hai
यह ऑर्डर ज़बरदस्त है।,Yeh order zabardast hai
यह रो रहा है,yah ro raha hai
मुझे एक फालतू चार्जर चाहिए।,mujhe ek faltu charger chahiye.
मेरे पास बहुत सारे आज है।,Mere paas bahut sare aaj hai.
मेरे पास तीन नमक है।,Mere paas teen namak hai.
यह बेहतर ताई और वह बेहतर माँ है।,Yeh behtar tai aur woh behtar maa hai
वह जवान पत्नी होगा।,Woh jawan patni hoga.
तुम्हारा दादा खो गया।,tumhara dada kho gaya.
यह शानदार चाचा और वह शानदार ताऊ है।,Yeh shaandaar chacha aur woh shaandaar tau hai
यह तपता माँ है।,Yeh tapta maa hai
वह गंदा परिवार होगा।,Woh ganda parivar hoga.
यह कठिन सास है।,Yeh kathin saas hai
मेरे पास बहुत सारे बिस्कुट है।,Mere paas bahut sare biscuit hai.
मुझे जाना है,mujhe jaana hai
उसका सास खो गया।,uska saas kho gaya.
वह ज़बरदस्त बच्चा होगा।,Woh zabardast bachcha hoga.
नहीं लगता।,Nahi lagta.
क्यों यह गया,kyun yah gaya
वह बढ़िया दुश्मन होगा।,Woh badhiya dushman hoga.
यह आईपैड सबसे अच्छा है।,Yeh iPad sabse accha hai
यह सुंदर खाना है।,Yeh sundar khana hai.
मेरा रही रहा है,mera rahi raha hai
वह नारंगी बहन होगा।,Woh narangi behen hoga.
वह अभी का औरत होगा।,Woh abhi ka aurat hoga.
यह खुश लड़की था।,Yeh khush ladki tha.
मुझे एक लंबा कमेंट चाहिए।,mujhe ek lamba comment chahiye.
यह बेहतर माँ और वह बेहतर पापा है।,Yeh behtar maa aur woh behtar papa hai
वह प्रसन्न बेटी होगा।,Woh prasanna beti hoga.
मुझे एक धांसू अकाउंट चाहिए।,mujhe ek dhansu account chahiye.
कमाल घर है,kamaal ghar hai
वह खूबसूरत भाई होगा।,Woh khoobsurat bhai hoga.
यह ज़बरदस्त दादा और वह ज़बरदस्त माँ है।,Yeh zabardast dada aur woh zabardast maa hai
यह अच्छा दादी और वह अच्छा परिवार है।,Yeh accha dadi aur woh accha parivar hai
दूध देख लो,doodh dekh lo
वह हैरान ताऊ होगा।,Woh hairaan tau hoga.
हमें यह काम चाहिए,hamein yah kaam chahiye
यह तपता घरवाले है।,Yeh tapta gharwale hai
यह खुश लड़का है।,Yeh khush ladka hai
वह लंबा परिवार था।,Woh lamba parivar tha.
यह रजिस्टर बढ़िया है।,Yeh register badhiya hai
मुझे एक बफरिंग चाहिए,Mujhe ek buffering chahiye
यह सबसे अच्छा दादा और वह सबसे अच्छा चाचा है।,Yeh sabse accha dada aur woh sabse accha chacha hai
मैं बैठती है,main baithti hai
उसकी समय है,uski samay hai
वह उदास ताई था।,Woh udas tai tha.
वह गंदा घरवाले था।,Woh ganda gharwale tha.
वह थका पापा था।,Woh thaka papa tha.
वह लंबा नानी था।,Woh lamba nani tha.
साफ़ दरवाज़ा,saaf darwaza
वह सरल लड़का था।,Woh saral ladka tha.
मुझे एक बढ़िया डिलीवरी चाहिए।,mujhe ek badhiya delivery chahiye.
मेरे पास कई स्पीकर है।,Mere paas kai speaker hai.
यह पॉडकास्ट सबसे बुरा है।,Yeh podcast sabse bura hai
गर्म दिन,garam din
मुझे एक मेन्यू चाहिए,Mujhe ek menu chahiye
वह लंबा माँ होगा।,Woh lamba maa hoga.
मेरे पास दो हेडफोन है।,Mere paas do headphone hai.
मेरे पास कई चाचा है।,Mere paas kai chacha hai.
वह बेवकूफ पति होगा।,Woh bewakoof pati hoga.
वह थका पापा होगा।,Woh thaka papa hoga.
वह फालतू माँ होगा।,Woh faltu maa hoga.
यह रिपोर्ट ज़बरदस्त है।,Yeh report zabardast hai
कहाँ यह है?,kahaan yah hai?
वह सुरीला ससुर होगा।,Woh surila sasur hoga.
यह तपता यार है।,Yeh tapta yaar hai
यह नया दादी है।,Yeh naya dadi hai
यह शानदार पति और वह शानदार चाचा है।,Yeh shaandaar pati aur woh shaandaar chacha hai
मेरा रह है,mera rah hai
वह महंगा परिवार होगा।,Woh mahanga parivar hoga.
वह बैठूँगा,vah baithunga
यह छोटा नाना है।,Yeh chhota nana hai
वह लंबा बूढ़ा होगा।,Woh lamba budha hoga.
यह बेहतर ससुर और वह बेहतर भाई है।,Yeh behtar sasur aur woh behtar bhai hai
इसका दोस्त पसंद है।,iska dost pasand hai.
यह पासवर्ड अच्छा है।,Yeh password accha hai
वह समझदार ताई था।,Woh samajhdar tai tha.
यह अच्छा बहन और वह अच्छा नानी है।,Yeh accha behen aur woh accha nani hai
वह लंबा ताई होगा।,Woh lamba tai hoga.
यह ज़बरदस्त घरवाले और वह ज़बरदस्त पापा है।,Yeh zabardast gharwale aur woh zabardast papa hai
यह ऐप ख़ास है।,Yeh app khaas hai
वह आलसी चाची होगा।,Woh aalsi chachi hoga.
वह कोमल लड़की होगा।,Woh komal ladki hoga.
वह मूर्ख सास होगा।,Woh murkh saas hoga.
यह बेवकूफ परिवार है।,Yeh bewakoof parivar hai
तेरी सड़क है,teri sadak hai
वह मोटा पापा होगा।,Woh mota papa hoga.
यह डेस्कटॉप बढ़िया है।,Yeh desktop badhiya hai
मुझे एक सबसे बुरा स्टोरी चाहिए।,mujhe ek sabse bura story chahiye.
वह गंदा नानी होगा।,Woh ganda nani hoga.
आप समझते हैं,aap samajhte hain
गर्म खाना,garam khana
यह बुरा ससुर और वह बुरा पापा है।,Yeh bura sasur aur woh bura papa hai
यह पासवर्ड बड़ा है।,Yeh password bada hai
यह महंगा बात है।,Yeh mahanga baat hai.
यह नारंगी पति है।,Yeh narangi pati hai
यह खराब सास और वह खराब माँ है।,Yeh kharab saas aur woh kharab maa hai
यह एप्लिकेशन बड़ा है।,Yeh application bada hai
यह सिग्नल लंबा है।,Yeh signal lamba hai
वह ज़बरदस्त बेटा था।,Woh zabardast beta tha.
मुझे एक पतला डेस्कटॉप चाहिए।,mujhe ek patla desktop chahiye.
एक काम करो।,Ek kaam karo.
मेरे पास तीन चीनी है।,Mere paas teen chini hai.
गाँव पीो,gaanv pio
यह अच्छा ससुर और वह अच्छा परिवार है।,Yeh accha sasur aur woh accha parivar hai
यह सॉफ्टवेयर चौड़ा है।,Yeh software chaura hai
यह ज़बरदस्त पति और वह ज़बरदस्त दादी है।,Yeh zabardast pati aur woh zabardast dadi hai
यह खराब औरत है।,Yeh kharab aurat hai
यह वीडियो धांसू है।,Yeh video dhansu hai
बुरे सड़क है,bure sadak hai
मुझे एक बुरा आईपैड चाहिए।,mujhe ek bura iPad chahiye.
यह मोहल्ला है।,Yeh mohalla hai.
मुझे एक शानदार टिकटॉक चाहिए।,mujhe ek shaandaar TikTok chahiye.
यह बढ़िया ताऊ और वह बढ़िया चाचा है।,Yeh badhiya tau aur woh badhiya chacha hai
वह उलझन में ताऊ था।,Woh confused tau tha.
यह नोटिफिकेशन खराब है।,Yeh notification kharab hai
वह मुश्किल दादा था।,Woh mushkil dada tha.
वह मज़ाकिया परिवार होगा।,Woh mazakiya parivar hoga.
यह बेटी जा रहा है।,Yeh beti ja raha hai.
मुझे एक शानदार प्राइवेसी चाहिए।,mujhe ek shaandaar privacy chahiye.
तुझे दुनिया चाहिए,tujhe duniya chahiye
आप बहुत गंदा है,aap bahut ganda hai
वह बेहतर आदमी होगा।,Woh behtar aadmi hoga.
तुम देखेगा,tum dekhega
यह बेहतर ताई और वह बेहतर दादा है।,Yeh behtar tai aur woh behtar dada hai
यह टैबलेट बेहतर है।,Yeh tablet behtar hai
तुमने खाया,tumne khaya
यह डिलीट पुराना है।,Yeh delete purana hai.
घर देखो,ghar dekho
यह बोर चाची है।,Yeh bore chachi hai
वह लंबा चाचा था।,Woh lamba chacha tha.
यह बढ़िया चाचा और वह बढ़िया बेटी है।,Yeh badhiya chacha aur woh badhiya beti hai
मैं हो है,main ho hai
यह उदास आदमी है।,Yeh udas aadmi hai
यह ज़बरदस्त पति और वह ज़बरदस्त सास है।,Yeh zabardast pati aur woh zabardast saas hai
यह सर्वर गंदा है।,Yeh server ganda hai.
यह शर्मीला लड़का है।,Yeh sharmila ladka hai
उम्दा कमरा,umda kamra
वह गहरा पापा होगा।,Woh gahra papa hoga.
मोहल्ला रखो,mohalla rakho
वह सुरीला नाना था।,Woh surila nana tha.
वह अच्छा नानी था।,Woh accha nani tha.
यह बेईमान दादा है।,Yeh beimana dada hai
यह शेयर फालतू है।,Yeh share faltu hai
यह होशियार पत्नी है।,Yeh hoshiyar patni hai
वह हरा लड़की होगा।,Woh hara ladki hoga.
पानी में,paani mein
यह ज़बरदस्त नाना और वह ज़बरदस्त पति है।,Yeh zabardast nana aur woh zabardast pati hai
दरवाज़ा को,darwaza ko
तुम होता है,tum hota hai
यह गहरा पति है।,Yeh gahra pati hai
स्थान से,sthaan se
यह धुंधला बेटा है।,Yeh dhundhla beta hai
यह इंटरनेट साधारण है।,Yeh internet sadharan hai
वह मुश्किल बच्चा होगा।,Woh mushkil bachcha hoga.
ये आेगी,ye aaegi
मेरे पास बहुत सारे रेडियो है।,Mere paas bahut sare radio hai.
यह प्रीमियम सबसे अच्छा है।,Yeh premium sabse accha hai
वह बासी माँ था।,Woh basi maa tha.
मुझे एक साधारण सब्सक्राइब चाहिए।,mujhe ek sadharan subscribe chahiye.
वह आसान माँ था।,Woh aasan maa tha.
वह गोल पति था।,Woh gol pati tha.
वह हरा सास होगा।,Woh hara saas hoga.
मुझे एक बेहतर रजिस्टर चाहिए।,mujhe ek behtar register chahiye.
यह बुरा बेटा और वह बुरा घरवाले है।,Yeh bura beta aur woh bura gharwale hai
मुझे एक बेकार लिंक्डइन चाहिए।,mujhe ek bekar LinkedIn chahiye.
वह सबसे बुरा आदमी था।,Woh sabse bura aadmi tha.
छोटा घर है,chhota ghar hai
कहाँ खो गए?,Kahan kho gaye?
मुझे एक खराब फिल्टर चाहिए।,mujhe ek kharab filter chahiye.
यह लिख रहे हैं,yah likh rahe hain
यह खराब दादा और वह खराब ससुर है।,Yeh kharab dada aur woh kharab sasur hai
यह मेहनती बहन है।,Yeh mehnati behen hai
मुझे एक साधारण सीरीज़ चाहिए।,mujhe ek sadharan series chahiye.
यह गर्म आदमी है।,Yeh garam aadmi hai
आँखें खुलना।,Aankhein khulna.
यह बेहतर बहन और वह बेहतर दादा है।,Yeh behtar behen aur woh behtar dada hai
मुझे एक मोबाइल है,Mujhe ek mobile hai
मुझे एक खराब स्मार्टफोन चाहिए।,mujhe ek kharab smartphone chahiye.
यह दिन बिक्री हुई।,Yeh din bikri hui.
यह अच्छा दादी और वह अच्छा नाना है।,Yeh accha dadi aur woh accha nana hai
मुझे एक बेहतर डेटा चाहिए।,mujhe ek behtar data chahiye.
वह लंबा लड़का था।,Woh lamba ladka tha.
पानी के पास,paani ke paas
यह सबसे अच्छा दादी और वह सबसे अच्छा नानी है।,Yeh sabse accha dadi aur woh sabse accha nani hai
मुझे मोहब्बत चाहिए,mujhe mohabbat chahiye
आप तेज़ है,aap tez hai
गंदे सड़क है,gande sadak hai
मेरी रात है,meri raat hai
वह ताज़ा दुश्मन होगा।,Woh taza dushman hoga.
यह बढ़िया बेटा और वह बढ़िया परिवार है।,Yeh badhiya beta aur woh badhiya parivar hai
दस घंटे,das ghante
वह सबसे अच्छा औरत था।,Woh sabse accha aurat tha.
यह एपिसोड साधारण है।,Yeh episode sadharan hai
मेरे पास बहुत सारे वकील है।,Mere paas bahut sare vakeel hai.
मुझे एक ज़बरदस्त फेसबुक चाहिए।,mujhe ek zabardast Facebook chahiye.
यह बढ़िया दादा और वह बढ़िया नाना है।,Yeh badhiya dada aur woh badhiya nana hai
यह सॉन्ग ज़बरदस्त है।,Yeh song zabardast hai
वह जलता बेटी था।,Woh jalta beti tha.
यह मैं को जानता है,yah main ko jaanta hai
वह उलझन में ताई होगा।,Woh confused tai hoga.
सेहत का ध्यान रखो।,Sehat ka dhyan rakho.
मुझे एक बढ़िया चेकआउट चाहिए।,mujhe ek badhiya checkout chahiye.
यह धांसू सास और वह धांसू पत्नी है।,Yeh dhansu saas aur woh dhansu patni hai
यह कैप्शन शानदार है।,Yeh caption shaandaar hai
यह आप को जानता है,yah aap ko jaanta hai
बिस्तर खा लो,bistar kha lo
मेरे पास तीन इंजीनियर है।,Mere paas teen engineer hai.
वह गंदा यार था।,Woh ganda yaar tha.
यह बेईमान पत्नी है।,Yeh beimana patni hai
यह मोटा दुश्मन है।,Yeh mota dushman hai
यह लाइक साधारण है।,Yeh like sadharan hai
मेरे पास बहुत सारे पुलिस है।,Mere paas bahut sare police hai.
वह जलता सास होगा।,Woh jalta saas hoga.
ज़्यादा सड़क है,zyada sadak hai
तेज़ दिन,tez din
वह सुरीला दादी होगा।,Woh surila dadi hoga.
गली पर,gali par
यह कमाल है,yah kamaal hai
वह गया रहा है,vah gaya raha hai
गंदी बिस्तर है,gandi bistar hai
वह फालतू औरत था।,Woh faltu aurat tha.
यह लिंक बढ़िया है।,Yeh link badhiya hai
यह बेईमान पापा है।,Yeh beimana papa hai
यह पी रही है,yah pi rahi hai
वह बेईमान ससुर था।,Woh beimana sasur tha.
आपकी खाना है,aapki khana hai
यह भांजा बिक्री हुई।,Yeh bhanja bikri hui.
मेरे पास एक आदमी है।,Mere paas ek aadmi hai.
वह ख़ास ताई था।,Woh khaas tai tha.
वह पुराना यार था।,Woh purana yaar tha.
वह दुखी चाचा था।,Woh dukh chacha tha.
यह वॉलेट लंबा है।,Yeh wallet lamba hai
मुझे एक लंबा कैप्शन चाहिए।,mujhe ek lamba caption chahiye.
वह काला परिवार होगा।,Woh kala parivar hoga.
मेरे पास चार हल्दी है।,Mere paas chaar haldi hai.
मेरे पास बहुत सारे दोस्त है।,Mere paas bahut sare dost hai.
वह डरपोक माँ होगा।,Woh darpok maa hoga.
वह मुश्किल यार होगा।,Woh mushkil yaar hoga.
वह सबसे अच्छा माँ होगा।,Woh sabse accha maa hoga.
वह कमेंट मिला,Woh comment mila
वह चमकदार लड़की था।,Woh chamakdar ladki tha.
मुझे एक बुरा फेसबुक चाहिए।,mujhe ek bura Facebook chahiye.
यह फालतू सास है।,Yeh faltu saas hai
वह चौड़ा चाचा था।,Woh chaura chacha tha.
यह खराब ससुर और वह खराब ताई है।,Yeh kharab sasur aur woh kharab tai hai
उसका चाची खो गया।,uska chachi kho gaya.
वह डरा हुआ आदमी होगा।,Woh dara hua aadmi hoga.
यह होशियार बच्ची है।,Yeh hoshiyar bachchi hai
यह खराब बहन और वह खराब चाचा है।,Yeh kharab behen aur woh kharab chacha hai
मुझे एक ज़बरदस्त पावर बैंक चाहिए।,mujhe ek zabardast power bank chahiye.
चीनी खा लो,cheeni kha lo
